lead_id,created_at,vertical,traffic_source,sub_id,state,cpl,status,buyer,sold_price,return_reason
L000021,2026-06-01 18:06,roofing,facebook,fb_02,MI,22.94,sold,BuyerA,32.06,
L000022,2026-06-01 14:45,windows,facebook,fb_04,TX,20.12,sold,BuyerA,30.06,
L000023,2026-06-01 8:11,roofing,native,nt_01,GA,22.93,sold,BuyerC,53.16,
L000024,2026-06-01 18:45,roofing,facebook,fb_04,PA,23.92,sold,BuyerA,34.89,
L000025,2026-06-01 12:50,bathroom,facebook,fb_05,TN,26.34,sold,BuyerE,41.11,
L000026,2026-06-01 13:32,roofing,facebook,fb_07,IL,25.41,sold,BuyerA,35.56,
L000027,2026-06-01 10:15,roofing,google,g_02,VA,25.06,sold,BuyerA,37.21,
L000028,2026-06-01 13:15,bathroom,facebook,fb_03,NY,28.03,sold,BuyerB,46.56,
L000029,2026-06-01 11:30,bathroom,facebook,fb_03,NC,24.88,sold,BuyerB,45.92,
L000030,2026-06-01 12:42,roofing,facebook,fb_07,CA,23.57,sold,BuyerD,37.74,
L000031,2026-06-01 16:44,bathroom,facebook,fb_03,WY,21.46,sold,BuyerB,45.27,
L000032,2026-06-01 14:50,bathroom,google,g_03,VA,39.67,sold,BuyerE,39.05,
L000033,2026-06-01 13:17,windows,facebook,fb_04,IN,22.4,sold,BuyerA,28.82,
L000034,2026-06-01 6:43,roofing,facebook,fb_06,MI,24.65,returned,BuyerD,33.41,out_of_service_area
L000035,2026-06-01 6:32,bathroom,facebook,fb_06,NC,30.19,sold,BuyerB,44.67,
L000036,2026-06-01 9:00,windows,facebook,fb_01,AZ,19.88,sold,BuyerB,28.01,
L000037,2026-06-01 10:06,bathroom,google,g_01,TN,34.35,sold,BuyerB,41.83,
L000038,2026-06-01 9:45,roofing,google,g_04,NJ,29.79,sold,BuyerD,31.82,
L000039,2026-06-01 15:34,roofing,facebook,fb_04,CA,18.54,sold,BuyerA,39.72,
L000040,2026-06-01 22:59,roofing,facebook,fb_04,CO,20.13,unsold,,,
L000041,2026-06-01 8:59,bathroom,facebook,fb_04,OH,29.66,sold,BuyerB,43.29,
L000042,2026-06-01 7:10,roofing,google,g_02,NY,34.99,sold,BuyerA,34.26,
L000043,2026-06-01 13:09,roofing,facebook,fb_07,PA,28.15,returned,BuyerA,35.87,bad_number
L000044,2026-06-01 15:12,windows,facebook,fb_03,FL,19.56,sold,BuyerA,28.58,
L000045,2026-06-01 14:26,windows,facebook,fb_02,NC,20.36,returned,BuyerA,29.36,no_answer
L000046,2026-06-01 13:28,roofing,facebook,fb_06,FL,21.79,sold,BuyerC,52.69,
L000047,2026-06-01 7:53,windows,facebook,fb_01,MI,21.29,sold,BuyerA,31.51,
L000048,2026-06-01 12:59,windows,google,g_01,MI,27.88,sold,BuyerA,32.39,
L000049,2026-06-01 17:45,roofing,facebook,fb_01,FL,24.61,sold,BuyerA,36.72,
L000050,2026-06-01 6:04,roofing,facebook,fb_01,NJ,21.34,sold,BuyerA,35.33,
L000051,2026-06-01 16:34,bathroom,facebook,fb_02,PA,32.51,sold,BuyerB,44.6,
L000052,2026-06-01 14:12,bathroom,facebook,fb_04,NY,26.9,returned,BuyerE,39.63,changed_mind
L000053,2026-06-01 11:44,roofing,google,g_02,CA,24.52,returned,BuyerA,36.99,no_answer
L000054,2026-06-01 11:10,roofing,facebook,fb_06,FL,24.86,returned,BuyerC,52.11,no_answer
L000055,2026-06-01 19:26,windows,google,g_03,TX,33.48,unsold,,,
L000056,2026-06-01 9:51,windows,facebook,fb_05,NY,20.28,sold,BuyerA,28.76,
L000057,2026-06-01 12:04,windows,native,nt_02,AZ,14.03,sold,BuyerA,29.96,
L000058,2026-06-01 16:09,windows,google,g_04,FL,33.67,sold,BuyerB,29.82,
L000059,2026-06-01 16:55,roofing,facebook,fb_03,FL,22.46,unsold,,,
L000060,2026-06-01 15:56,roofing,facebook,fb_03,OH,22.09,sold,BuyerA,31.38,
L000061,2026-06-01 8:52,bathroom,facebook,fb_02,VA,27.26,sold,BuyerB,40.98,
L000062,2026-06-01 13:36,roofing,facebook,fb_01,FL,28.47,sold,BuyerC,50.99,
L000063,2026-06-01 9:23,bathroom,facebook,fb_06,CO,34.39,sold,BuyerB,45.06,
L000064,2026-06-01 14:18,roofing,google,g_02,OH,35.59,sold,BuyerA,34.96,
L000065,2026-06-01 17:01,bathroom,facebook,fb_08,TX,26.05,sold,BuyerE,38.16,
L000066,2026-06-01 7:46,bathroom,native,nt_02,CA,20,sold,BuyerB,44.87,
L000067,2026-06-01 16:26,roofing,facebook,fb_06,FL,23.1,sold,BuyerC,52.59,
L000068,2026-06-01 8:45,roofing,facebook,fb_04,TN,18.28,sold,BuyerD,32.56,
L000069,2026-06-01 12:15,roofing,facebook,fb_08,AZ,20.68,sold,BuyerD,33.03,
L000070,2026-06-01 13:36,bathroom,native,nt_02,TX,17.32,returned,BuyerB,45.11,no_answer
L000071,2026-06-01 14:04,roofing,facebook,fb_04,TX,26.2,returned,BuyerC,51.1,no_answer
L000072,2026-06-01 19:25,bathroom,google,g_01,TX,27.69,unsold,,,
L000073,2026-06-01 15:01,roofing,google,g_01,TX,32.93,sold,BuyerC,55.14,
L000074,2026-06-01 12:06,roofing,facebook,fb_08,MT,23.85,returned,BuyerA,35.74,no_answer
L000075,2026-06-01 9:41,bathroom,google,g_03,OH,30.55,sold,BuyerB,48.04,
L000076,2026-06-01 13:36,roofing,facebook,fb_03,IL,23.52,sold,BuyerA,37.47,
L000077,2026-06-01 14:39,windows,facebook,fb_01,PA,18.9,sold,BuyerB,29.78,
L000078,2026-06-01 17:29,roofing,google,g_02,FL,28.46,unsold,,,
L000079,2026-06-01 13:58,roofing,google,g_01,TX,28.07,sold,BuyerC,52.04,
L000080,2026-06-01 10:57,windows,facebook,fb_06,SC,21.94,sold,BuyerA,32.78,
L000081,2026-06-01 18:22,roofing,facebook,fb_01,CA,16.76,sold,BuyerD,35.92,
L000082,2026-06-01 13:12,bathroom,native,nt_01,TN,24.7,sold,BuyerB,44.04,
L000083,2026-06-01 18:00,roofing,facebook,fb_02,FL,21.89,sold,BuyerC,52.54,
L000084,2026-06-01 15:14,windows,facebook,fb_04,CO,20.15,sold,BuyerA,29.57,
L000085,2026-06-01 9:00,roofing,facebook,fb_03,TX,17.36,sold,BuyerC,50.42,
L000086,2026-06-01 14:37,roofing,google,g_04,NC,26.5,sold,BuyerD,35.66,
L000087,2026-06-01 12:32,windows,facebook,fb_06,NC,19.36,sold,BuyerB,31.66,
L000088,2026-06-01 17:06,windows,facebook,fb_06,IN,17.32,sold,BuyerA,28.95,
L000089,2026-06-01 10:41,windows,google,g_04,IN,26.64,sold,BuyerA,32.21,
L000090,2026-06-01 13:35,bathroom,facebook,fb_01,TX,27.43,sold,BuyerB,42.72,
L000091,2026-06-01 7:26,roofing,facebook,fb_08,ID,23.83,unsold,,,
L000092,2026-06-01 13:05,bathroom,facebook,fb_08,CO,26.31,sold,BuyerB,43.2,
L000093,2026-06-01 16:17,roofing,facebook,fb_03,GA,23.16,returned,BuyerC,53.14,bad_number
L000094,2026-06-01 14:32,windows,facebook,fb_01,NC,18.28,sold,BuyerA,28.83,
L000095,2026-06-01 10:01,windows,facebook,fb_07,VA,20.76,sold,BuyerF,29.68,
L000096,2026-06-01 10:09,roofing,native,nt_02,CO,19.22,sold,BuyerA,33.05,
L000097,2026-06-01 7:47,bathroom,facebook,fb_02,OH,28.74,sold,BuyerE,39.25,
L000098,2026-06-01 6:02,roofing,facebook,fb_03,TX,23.6,sold,BuyerA,35.99,
L000099,2026-06-01 14:17,bathroom,facebook,fb_01,IL,29.08,sold,BuyerE,41.85,
L000100,2026-06-01 11:23,bathroom,facebook,fb_08,PA,25.81,sold,BuyerE,36.52,
L000101,2026-06-01 12:00,bathroom,facebook,fb_08,MI,28.96,sold,BuyerB,43.94,
L000102,2026-06-01 19:14,bathroom,facebook,fb_02,PA,25.83,sold,BuyerB,44.57,
L000103,2026-06-01 16:45,windows,facebook,fb_05,TX,19.69,sold,BuyerA,29.43,
L000104,2026-06-01 18:58,windows,facebook,fb_05,IL,20.82,sold,BuyerA,28.99,
L000105,2026-06-01 15:50,roofing,google,g_01,MO,27.46,sold,BuyerD,32.15,
L000106,2026-06-01 23:40,windows,google,g_03,TN,31.48,returned,BuyerA,29.81,not_homeowner
L000107,2026-06-01 19:19,windows,facebook,fb_04,MI,21,sold,BuyerA,32.28,
L000108,2026-06-01 13:05,windows,google,g_01,MO,26.35,sold,BuyerA,30.26,
L000109,2026-06-01 7:38,windows,facebook,fb_05,MI,22.66,sold,BuyerA,30.93,
L000110,2026-06-01 14:53,roofing,facebook,fb_02,TN,22.39,sold,BuyerA,41.4,
L000111,2026-06-01 17:59,roofing,google,g_03,FL,37.17,sold,BuyerC,50.07,
L000112,2026-06-01 14:36,bathroom,native,nt_02,NY,23.08,sold,BuyerE,38.64,
L000113,2026-06-01 15:26,bathroom,facebook,fb_03,MI,22.56,sold,BuyerB,45.15,
L000114,2026-06-01 12:48,bathroom,native,nt_01,SC,23.99,sold,BuyerE,45.23,
L000115,2026-06-01 6:31,roofing,facebook,fb_04,FL,30.81,sold,BuyerC,50.63,
L000116,2026-06-01 13:02,roofing,facebook,fb_07,TX,18.3,sold,BuyerD,33.67,
L000117,2026-06-01 17:23,roofing,facebook,fb_04,CA,22.23,sold,BuyerA,39.27,
L000118,2026-06-01 16:08,roofing,facebook,fb_02,GA,24.95,returned,BuyerD,34.58,changed_mind
L000119,2026-06-01 8:28,roofing,facebook,fb_02,TN,20.36,sold,BuyerD,31.16,
L000120,2026-06-01 7:12,bathroom,facebook,fb_01,OH,24.87,sold,BuyerE,43.16,
L000121,2026-06-01 14:32,roofing,facebook,fb_04,NC,23.22,sold,BuyerD,34.52,
L000122,2026-06-01 12:52,roofing,google,g_02,ND,28.25,sold,BuyerD,32.85,
L000123,2026-06-01 13:36,roofing,facebook,fb_03,TX,20.5,returned,BuyerD,33.15,bad_number
L000124,2026-06-01 21:51,windows,facebook,fb_06,FL,21.91,returned,BuyerF,30.06,no_answer
L000125,2026-06-01 15:24,roofing,facebook,fb_05,VA,20.55,sold,BuyerA,35.71,
L000126,2026-06-01 16:49,roofing,facebook,fb_01,CO,24.16,sold,BuyerD,39.98,
L000127,2026-06-01 13:28,roofing,google,g_03,VA,33.58,sold,BuyerA,39.18,
L000128,2026-06-01 6:04,windows,google,g_01,CA,23.45,sold,BuyerA,32.37,
L000129,2026-06-01 18:06,bathroom,google,g_01,PA,35.21,sold,BuyerB,47.97,
L000130,2026-06-01 11:43,roofing,facebook,fb_04,GA,18.25,sold,BuyerA,35.01,
L000131,2026-06-01 17:52,bathroom,google,g_03,MI,31.3,sold,BuyerB,39.96,
L000132,2026-06-01 9:34,bathroom,facebook,fb_02,TN,22.95,sold,BuyerB,42.58,
L000133,2026-06-01 10:23,windows,facebook,fb_03,IL,17.33,sold,BuyerA,28.71,
L000134,2026-06-01 13:17,roofing,google,g_03,NC,36.58,sold,BuyerA,35.57,
L000135,2026-06-01 12:55,roofing,facebook,fb_06,GA,21.45,sold,BuyerD,34.38,
L000136,2026-06-01 13:49,roofing,google,g_04,TX,22.25,sold,BuyerA,35.12,
L000137,2026-06-01 12:00,windows,facebook,fb_02,CO,18,sold,BuyerA,31.77,
L000138,2026-06-01 12:07,windows,facebook,fb_06,NC,20.24,sold,BuyerA,30.74,
L000139,2026-06-01 9:49,windows,google,g_01,WY,24.02,sold,BuyerB,29.86,
L000140,2026-06-01 19:54,bathroom,facebook,fb_06,AZ,31.66,sold,BuyerE,38.16,
L000141,2026-06-01 13:15,windows,facebook,fb_01,MT,18.17,unsold,,,
L000142,2026-06-01 17:19,windows,facebook,fb_01,MO,15.58,sold,BuyerA,29.64,
L000143,2026-06-01 11:56,roofing,facebook,fb_01,CO,18.24,sold,BuyerA,37.64,
L000144,2026-06-01 14:59,roofing,facebook,fb_06,WY,21.23,sold,BuyerA,36.97,
L000145,2026-06-01 12:41,roofing,facebook,fb_05,CA,20.91,sold,BuyerD,36.3,
L000146,2026-06-01 17:57,roofing,facebook,fb_08,IN,20.06,sold,BuyerD,32.55,
L000147,2026-06-01 15:07,windows,native,nt_02,CA,17.44,sold,BuyerB,29.02,
L000148,2026-06-01 18:58,bathroom,google,g_02,GA,39.71,sold,BuyerE,43.79,
L000149,2026-06-01 17:50,roofing,facebook,fb_07,AZ,26.11,sold,BuyerA,34.74,
L000150,2026-06-01 12:55,windows,google,g_04,PA,23.02,sold,BuyerA,29.73,
L000151,2026-06-01 12:36,roofing,facebook,fb_04,TX,25.82,sold,BuyerA,36.02,
L000152,2026-06-01 18:40,bathroom,facebook,fb_04,PA,32.62,sold,BuyerB,43.79,
L000153,2026-06-01 12:13,windows,google,g_02,MO,27.67,sold,BuyerB,28.53,
L000154,2026-06-01 13:36,roofing,google,g_03,OH,34.28,sold,BuyerD,35.08,
L000155,2026-06-01 12:49,roofing,facebook,fb_04,PA,22.83,sold,BuyerA,38.23,
L000156,2026-06-01 13:28,bathroom,facebook,fb_02,FL,25.02,sold,BuyerB,44.9,
L000157,2026-06-01 22:48,bathroom,google,g_04,OH,31.3,sold,BuyerB,47.63,
L000158,2026-06-01 13:41,windows,native,nt_02,CO,15.33,sold,BuyerA,29.42,
L000159,2026-06-01 16:18,bathroom,facebook,fb_01,CA,27.32,sold,BuyerB,43.51,
L000160,2026-06-01 20:13,bathroom,facebook,fb_02,TX,31.6,sold,BuyerE,38.72,
L000161,2026-06-01 16:05,roofing,google,g_03,TN,38.85,sold,BuyerA,34.35,
L000162,2026-06-01 11:40,roofing,facebook,fb_08,GA,22.75,sold,BuyerA,36.3,
L000163,2026-06-01 15:30,roofing,facebook,fb_03,NC,22.54,sold,BuyerD,32.92,
L000164,2026-06-01 15:51,roofing,google,g_03,MI,30.66,sold,BuyerD,34.47,
L000165,2026-06-01 14:38,roofing,facebook,fb_03,NY,24.17,sold,BuyerD,36.65,
L000166,2026-06-01 22:06,roofing,google,g_01,NY,30.5,sold,BuyerA,33.92,
L000167,2026-06-01 16:20,windows,google,g_04,TN,31.72,sold,BuyerA,32.78,
L000168,2026-06-01 9:41,roofing,facebook,fb_07,MI,23.17,returned,BuyerD,34.04,no_answer
L000169,2026-06-01 16:16,windows,google,g_04,AZ,23.25,sold,BuyerA,32.59,
L000170,2026-06-01 17:50,bathroom,google,g_02,NY,31.93,sold,BuyerB,43.72,
L000171,2026-06-01 16:18,roofing,facebook,fb_03,IL,23.21,sold,BuyerA,33.89,
L000172,2026-06-01 13:22,bathroom,facebook,fb_05,ID,29.41,unsold,,,
L000173,2026-06-01 11:39,windows,facebook,fb_02,ID,20.56,sold,BuyerA,31.15,
L000174,2026-06-01 14:29,roofing,facebook,fb_02,TX,22.31,sold,BuyerA,38.57,
L000175,2026-06-01 16:02,bathroom,facebook,fb_02,SC,24.73,sold,BuyerB,46.29,
L000176,2026-06-01 20:42,roofing,google,g_03,CA,37.47,sold,BuyerA,39.59,
L000177,2026-06-01 16:28,windows,facebook,fb_01,CA,16.47,sold,BuyerA,30.41,
L000178,2026-06-01 14:23,roofing,native,nt_01,ID,23.25,sold,BuyerD,30.75,
L000179,2026-06-01 11:15,bathroom,facebook,fb_01,IL,25.9,sold,BuyerB,41.95,
L000180,2026-06-01 9:51,windows,google,g_01,CA,26.1,sold,BuyerB,30.9,
L000181,2026-06-01 6:03,roofing,facebook,fb_03,SC,27.08,sold,BuyerD,36.03,
L000182,2026-06-01 13:44,windows,facebook,fb_01,TX,15.42,sold,BuyerA,30.14,
L000183,2026-06-01 12:29,roofing,google,g_03,PA,39.92,sold,BuyerA,38.83,
L000184,2026-06-01 18:25,roofing,native,nt_02,TX,17.25,sold,BuyerA,34.03,
L000185,2026-06-01 13:33,roofing,facebook,fb_03,IN,20.02,sold,BuyerA,35.36,
L000186,2026-06-01 13:03,windows,facebook,fb_06,FL,19.04,sold,BuyerA,30.97,
L000187,2026-06-01 9:18,windows,facebook,fb_01,TX,22.39,sold,BuyerA,31.25,
L000188,2026-06-01 14:20,bathroom,facebook,fb_01,CA,27.12,sold,BuyerE,39.03,
L000189,2026-06-01 13:58,bathroom,facebook,fb_06,FL,25.22,sold,BuyerB,46.38,
L000190,2026-06-01 11:01,roofing,google,g_04,CO,27.19,sold,BuyerA,35.42,
L000191,2026-06-01 8:59,roofing,google,g_01,NC,25.19,sold,BuyerA,35.52,
L000192,2026-06-01 11:35,bathroom,facebook,fb_07,FL,24.18,sold,BuyerE,38.81,
L000193,2026-06-01 16:46,bathroom,google,g_04,NC,30.53,sold,BuyerB,47.24,
L000194,2026-06-01 16:02,roofing,facebook,fb_03,PA,25.36,sold,BuyerD,33.78,
L000195,2026-06-01 9:39,bathroom,facebook,fb_02,VA,28.36,sold,BuyerE,38.97,
L000196,2026-06-02 16:19,roofing,native,nt_01,CO,17.96,sold,BuyerD,34.69,
L000197,2026-06-02 15:11,bathroom,facebook,fb_07,CA,18.68,sold,BuyerB,46.77,
L000198,2026-06-02 8:01,roofing,facebook,fb_01,CO,25.14,sold,BuyerD,34.54,
L000199,2026-06-02 15:20,windows,facebook,fb_01,NC,18.12,sold,BuyerA,28.99,
L000200,2026-06-02 8:52,roofing,native,nt_02,SC,20.01,sold,BuyerA,34.56,
L000201,2026-06-02 13:37,windows,google,g_03,NC,20.88,returned,BuyerA,29.17,changed_mind
L000202,2026-06-02 18:01,windows,facebook,fb_06,IL,21.1,sold,BuyerA,30.06,
L000203,2026-06-02 14:35,bathroom,google,g_04,WY,30.08,unsold,,,
L000204,2026-06-02 14:05,bathroom,facebook,fb_03,TN,28.77,sold,BuyerB,41.89,
L000205,2026-06-02 6:13,bathroom,google,g_03,IL,32.61,sold,BuyerB,43.62,
L000206,2026-06-02 12:58,roofing,google,g_04,SC,31.22,sold,BuyerA,35,
L000207,2026-06-02 14:47,roofing,facebook,fb_01,TX,25.94,sold,BuyerC,49.99,
L000208,2026-06-02 17:19,roofing,facebook,fb_05,MT,24.99,unsold,,,
L000209,2026-06-02 14:22,roofing,native,nt_01,NC,17.99,sold,BuyerA,39.06,
L000210,2026-06-02 23:38,roofing,facebook,fb_01,FL,19.69,sold,BuyerC,51.54,
L000211,2026-06-02 21:46,roofing,native,nt_01,OH,18.9,sold,BuyerA,35.29,
L000212,2026-06-02 7:16,bathroom,facebook,fb_01,IL,23.4,sold,BuyerB,44.45,
L000213,2026-06-02 18:52,roofing,facebook,fb_02,AZ,26.05,returned,BuyerA,36.81,changed_mind
L000214,2026-06-02 14:08,bathroom,native,nt_02,VA,20.92,sold,BuyerB,43.89,
L000215,2026-06-02 15:55,roofing,facebook,fb_08,FL,28.85,sold,BuyerC,53.21,
L000216,2026-06-02 15:23,windows,google,g_02,IL,23.67,sold,BuyerA,32.14,
L000217,2026-06-02 18:05,windows,facebook,fb_06,CA,21.79,sold,BuyerB,31.28,
L000218,2026-06-02 10:36,roofing,facebook,fb_07,AZ,22.18,sold,BuyerA,34.71,
L000219,2026-06-02 11:09,roofing,facebook,fb_04,FL,20.24,returned,BuyerC,52.68,changed_mind
L000220,2026-06-02 23:10,windows,facebook,fb_04,FL,19.48,sold,BuyerA,30.57,
L000221,2026-06-02 10:20,windows,native,nt_01,PA,14.09,sold,BuyerB,30.98,
L000222,2026-06-02 10:17,bathroom,native,nt_01,AZ,23,returned,BuyerE,43.24,no_answer
L000223,2026-06-02 12:15,windows,google,g_04,TX,25.29,sold,BuyerA,29.5,
L000224,2026-06-02 15:38,bathroom,facebook,fb_01,PA,27.72,sold,BuyerB,39.69,
L000225,2026-06-02 14:14,bathroom,facebook,fb_05,CO,28.61,sold,BuyerB,44.08,
L000226,2026-06-02 14:42,windows,native,nt_02,ND,15.56,sold,BuyerA,30.08,
L000227,2026-06-02 16:02,bathroom,native,nt_01,ID,18.7,returned,BuyerB,40.82,no_answer
L000228,2026-06-02 18:46,roofing,facebook,fb_06,CA,22.84,sold,BuyerD,32.5,
L000229,2026-06-02 16:28,windows,facebook,fb_07,CA,18.32,returned,BuyerA,28.56,not_homeowner
L000230,2026-06-02 10:38,bathroom,facebook,fb_01,SC,24.61,returned,BuyerB,42.42,bad_number
L000231,2026-06-02 15:53,bathroom,facebook,fb_07,TX,26.98,sold,BuyerE,41.48,
L000232,2026-06-02 13:40,roofing,google,g_02,NC,28.82,unsold,,,
L000233,2026-06-02 15:22,roofing,facebook,fb_06,VA,27.08,sold,BuyerD,35.07,
L000234,2026-06-02 9:40,roofing,facebook,fb_03,TX,23.74,sold,BuyerC,52.54,
L000235,2026-06-02 14:37,bathroom,facebook,fb_01,TX,25.35,sold,BuyerB,40.61,
L000236,2026-06-02 6:06,windows,google,g_02,ND,32.05,sold,BuyerA,29.67,
L000237,2026-06-02 8:06,bathroom,native,nt_01,TX,22.9,sold,BuyerE,38.45,
L000238,2026-06-02 17:13,bathroom,facebook,fb_01,CA,25.36,sold,BuyerB,45.88,
L000239,2026-06-02 17:37,windows,google,g_01,NC,24.77,sold,BuyerA,30.46,
L000240,2026-06-02 10:45,windows,facebook,fb_08,TX,19.84,sold,BuyerB,27.87,
L000241,2026-06-02 13:39,bathroom,facebook,fb_06,NC,30.57,sold,BuyerE,41.03,
L000242,2026-06-02 15:42,windows,google,g_03,TX,21.03,sold,BuyerB,28.41,
L000243,2026-06-02 11:20,windows,facebook,fb_07,SC,19.36,sold,BuyerB,31.02,
L000244,2026-06-02 9:05,roofing,facebook,fb_02,IL,22.7,sold,BuyerD,33.96,
L000245,2026-06-02 12:16,bathroom,facebook,fb_02,OH,25.42,sold,BuyerE,34.94,
L000246,2026-06-02 14:02,bathroom,facebook,fb_07,FL,28.81,unsold,,,
L000247,2026-06-02 11:54,roofing,native,nt_01,TX,17.49,sold,BuyerC,50.24,
L000248,2026-06-02 14:32,roofing,facebook,fb_01,AZ,21.41,sold,BuyerA,31.52,
L000249,2026-06-02 14:36,roofing,native,nt_02,NJ,20.09,unsold,,,
L000250,2026-06-02 14:38,roofing,native,nt_01,OH,20.86,sold,BuyerA,36.66,
L000251,2026-06-02 22:27,roofing,facebook,fb_01,CO,31.81,sold,BuyerA,35,
L000252,2026-06-02 22:52,roofing,google,g_02,GA,32.61,sold,BuyerC,51.48,
L000253,2026-06-02 16:54,roofing,native,nt_02,VA,21.3,sold,BuyerD,31.28,
L000254,2026-06-02 11:25,windows,google,g_01,TX,34.01,sold,BuyerA,29.09,
L000255,2026-06-02 23:24,roofing,google,g_03,NJ,32.19,sold,BuyerD,33.51,
L000256,2026-06-02 14:53,bathroom,google,g_03,NC,33.94,unsold,,,
L000257,2026-06-02 12:28,bathroom,native,nt_01,FL,19.36,sold,BuyerB,47.18,
L000258,2026-06-02 9:21,windows,facebook,fb_01,FL,22.46,sold,BuyerA,32.96,
L000259,2026-06-02 13:15,bathroom,facebook,fb_02,FL,26.71,sold,BuyerE,39.94,
L000260,2026-06-02 11:26,windows,facebook,fb_06,NC,26.29,sold,BuyerA,29.62,
L000261,2026-06-02 16:43,windows,google,g_03,VA,28.56,unsold,,,
L000262,2026-06-02 19:54,windows,facebook,fb_04,NC,22.16,sold,BuyerB,30.64,
L000263,2026-06-02 7:00,bathroom,google,g_02,GA,37.74,sold,BuyerE,42.54,
L000264,2026-06-02 8:24,windows,native,nt_01,GA,14.74,sold,BuyerA,29.74,
L000265,2026-06-02 11:34,windows,facebook,fb_03,TX,22.47,sold,BuyerA,31.81,
L000266,2026-06-02 13:28,roofing,google,g_02,NY,28.52,sold,BuyerD,32.55,
L000267,2026-06-02 20:07,roofing,facebook,fb_05,TN,24.87,sold,BuyerD,33.85,
L000268,2026-06-02 19:37,bathroom,facebook,fb_03,NY,23.65,sold,BuyerE,42.91,
L000269,2026-06-02 14:39,bathroom,google,g_02,PA,33.37,sold,BuyerE,38.16,
L000270,2026-06-02 14:02,bathroom,native,nt_02,OH,23.71,sold,BuyerB,43.32,
L000271,2026-06-02 13:41,windows,facebook,fb_07,TX,19.88,sold,BuyerA,28.76,
L000272,2026-06-02 13:56,bathroom,native,nt_02,TX,22.18,sold,BuyerB,41.85,
L000273,2026-06-02 13:29,windows,google,g_02,VA,27.26,sold,BuyerA,30.61,
L000274,2026-06-02 12:37,windows,facebook,fb_07,NY,18.02,sold,BuyerA,33.23,
L000275,2026-06-02 14:15,roofing,google,g_01,TX,26.4,sold,BuyerC,52.8,
L000276,2026-06-02 14:20,windows,native,nt_01,NY,17.8,sold,BuyerA,30.48,
L000277,2026-06-02 6:46,roofing,facebook,fb_02,AZ,22.07,sold,BuyerA,37.88,
L000278,2026-06-02 10:06,windows,facebook,fb_04,FL,23.51,sold,BuyerA,28.63,
L000279,2026-06-02 10:58,bathroom,facebook,fb_06,NY,21.88,sold,BuyerB,43.33,
L000280,2026-06-02 20:07,bathroom,facebook,fb_02,GA,20.07,sold,BuyerE,39.27,
L000281,2026-06-02 10:09,roofing,facebook,fb_01,MI,22.2,unsold,,,
L000282,2026-06-02 15:16,bathroom,facebook,fb_02,GA,28.74,sold,BuyerB,45.01,
L000283,2026-06-02 13:35,roofing,facebook,fb_04,NC,17.94,sold,BuyerA,37.61,
L000284,2026-06-02 6:16,roofing,google,g_03,CA,27.74,sold,BuyerD,35.83,
L000285,2026-06-02 15:04,windows,native,nt_02,MI,14.1,sold,BuyerA,30.08,
L000286,2026-06-02 15:26,roofing,facebook,fb_03,TX,24.63,unsold,,,
L000287,2026-06-02 7:24,roofing,facebook,fb_04,PA,28.38,sold,BuyerA,35.71,
L000288,2026-06-02 19:24,roofing,facebook,fb_03,OH,25.95,sold,BuyerA,32.77,
L000289,2026-06-02 14:48,roofing,facebook,fb_04,ID,24.78,unsold,,,
L000290,2026-06-02 14:30,bathroom,google,g_04,AZ,33.2,sold,BuyerE,39.9,
